time,seconds_elapsed,z,y,x
1684200669094108200,0.030108154296875,2.415820360183716,5.10404109954834,0.8867908716201782
1684200669104134100,0.040134033203125,2.9908125400543213,2.261845588684082,0.03136087954044342
1684200669114160400,0.050160400390625,3.4001762866973877,-0.677394449710846,-0.6619462370872498
1684200669124186400,0.060186279296875,3.4612276554107666,-3.2404093742370605,-1.0939271450042725
1684200669134212400,0.07021240234375,2.9771792888641357,-4.498768329620361,-1.410679578781128
1684200669144238300,0.08023828125,2.1863672733306885,-4.4390716552734375,-1.7024624347686768
1684200669154264300,0.090264404296875,1.4392739534378052,-3.528549909591675,-2.0111992359161377
1684200669164289300,0.100289306640625,0.23694366216659546,-1.462384819984436,-1.8489453792572021
1684200669174315300,0.110315185546875,-1.057706594467163,0.9117454886436462,-1.202497959136963
1684200669184341200,0.12034130859375,-1.4425935745239258,3.0068869590759277,-0.9057361483573914
1684200669194367200,0.1303671875,-1.995941162109375,3.4858360290527344,-0.6147953867912292
1684200669204393200,0.140393310546875,-2.7624828815460205,3.7141613960266113,-0.18754792213439941
1684200669214419200,0.150419189453125,-3.5065224170684814,3.627930164337158,0.30861762166023254
1684200669224445200,0.160445068359375,-4.058598518371582,3.2749311923980713,0.7159172296524048
1684200669234471200,0.17047119140625,-4.255857944488525,3.2896316051483154,0.9895480871200562
1684200669244497400,0.180497314453125,-4.099861145019531,3.8316543102264404,1.1170918941497803
1684200669254523400,0.1905234375,-3.7930831909179688,4.782115459442139,1.1297016143798828
1684200669264549400,0.20054931640625,-3.4729535579681396,5.761664390563965,1.1311477422714233
1684200669274575400,0.210575439453125,-3.3893935680389404,6.806090831756592,1.1840684413909912
1684200669284600300,0.220600341796875,-3.6218740940093994,7.923884868621826,1.3957726955413818
1684200669294626300,0.230626220703125,-4.146220684051514,8.592387199401855,1.8605315685272217
1684200669304652300,0.24065234375,-4.90819787979126,8.517744064331055,2.424492359161377
1684200669314678300,0.25067822265625,-5.671759128570557,8.206274032592773,3.002676486968994
1684200669324704300,0.260704345703125,-6.216734886169434,7.820579528808594,3.333822250366211
1684200669334730200,0.270730224609375,-6.477704048156738,7.602667331695557,3.398747682571411
1684200669344756200,0.280756103515625,-6.646590232849121,7.398921489715576,3.283540964126587
1684200669354782200,0.2907822265625,-7.035222053527832,6.962297439575195,3.103628396987915
1684200669364808200,0.30080810546875,-7.567035675048828,6.283892631530762,2.948181629180908
1684200669374834200,0.310834228515625,-8.002503395080566,5.45658016204834,2.793929100036621
1684200669384860200,0.320860107421875,-8.38453197479248,4.620391845703125,2.5680556297302246
1684200669394886100,0.33088623046875,-8.703473091125488,3.9299893379211426,2.2477807998657227
1684200669404911400,0.340911376953125,-8.904937744140625,3.3462443351745605,1.8369827270507812
1684200669414937300,0.350937255859375,-8.855949401855469,2.842860698699951,1.3498116731643677
1684200669424963300,0.36096337890625,-8.479657173156738,2.4128236770629883,1.0333096981048584
1684200669434989000,0.370989013671875,-7.922390937805176,1.9377797842025757,1.071912407875061
1684200669445015000,0.38101513671875,-7.290949821472168,1.2351257801055908,1.4332056045532227
1684200669455041300,0.391041259765625,-6.617002964019775,0.4577239453792572,2.2333319187164307
1684200669465067300,0.4010673828125,-6.087512016296387,-0.28956544399261475,2.762601852416992
1684200669475093200,0.41109326171875,-5.498588562011719,-0.5802145600318909,2.9874725341796875
1684200669485119200,0.421119140625,-4.810290813446045,-0.5546963810920715,2.9244136810302734
1684200669495145000,0.43114501953125,-4.087856769561768,-0.41689619421958923,2.708773612976074
1684200669505171000,0.4411708984375,-3.390442371368408,-0.28518369793891907,2.5522122383117676
1684200669515196200,0.451196044921875,-2.7911717891693115,-0.5710512399673462,2.659273386001587
1684200669525222100,0.46122216796875,-2.3364999294281006,-1.3108230829238892,2.7710628509521484
1684200669535248100,0.471248046875,-1.8077501058578491,-2.2604308128356934,2.6033549308776855
1684200669545274000,0.481274169921875,-1.1772671937942505,-3.0099730491638184,2.279860258102417
1684200669555300000,0.491300048828125,-0.6187780499458313,-3.823988199234009,1.9735822677612305
1684200669565326000,0.501326171875,-0.2211478352546692,-4.350199222564697,1.5383925437927246
1684200669575352000,0.51135205078125,0.12588262557983398,-4.629602432250977,1.0120623111724854
1684200669585378000,0.5213779296875,0.4195360839366913,-4.550466537475586,0.5524922609329224
1684200669595404000,0.531404052734375,0.6635801792144775,-4.199428558349609,0.20776638388633728
1684200669605430000,0.541429931640625,0.8781127333641052,-3.731732130050659,0.12782999873161316
1684200669615456000,0.5514560546875,1.2723232507705688,-3.2925643920898438,0.22379593551158905
1684200669625481200,0.561481201171875,1.8617883920669556,-2.877727508544922,0.3177008628845215
1684200669635507200,0.571507080078125,2.524388313293457,-2.4915771484375,0.2797377109527588
1684200669645533200,0.581533203125,3.096196174621582,-2.0912184715270996,0.08880798518657684
1684200669655559200,0.59155908203125,3.5529308319091797,-1.5184367895126343,-0.2375405728816986
1684200669665585200,0.601585205078125,4.011205673217773,-1.0417211055755615,-0.4671764373779297
1684200669675611100,0.611611083984375,4.210073471069336,-0.7732165455818176,-0.5190257430076599
1684200669685637000,0.62163720703125,3.2260003089904785,-0.29912617802619934,-0.9685686826705933
1684200669695662800,0.631662841796875,2.4157700538635254,-0.6072741746902466,-1.7016091346740723
1684200669705688800,0.641688720703125,1.616409420967102,-0.8433341383934021,-2.1980676651000977
1684200669715715000,0.651715087890625,1.7445873022079468,-0.5971739888191223,-1.7580243349075317
1684200669725741000,0.661740966796875,2.139467716217041,-0.12015897780656815,-0.9048389196395874
