time,seconds_elapsed,z,y,x
1684201149874816500,0.03181640625,-0.003563492326065898,-0.01127580739557743,0.0012143312487751245
1684201149884841500,0.041841552734375,-0.000600459286943078,-0.010598299093544483,-0.005509884096682072
1684201149894866400,0.051866455078125,-0.0023858463391661644,-0.014175066724419594,-0.015773635357618332
1684201149904890400,0.061890380859375,-0.009540961124002934,-0.024829575791954994,-0.03596492484211922
1684201149914915300,0.071915283203125,-0.02286715805530548,-0.04198019579052925,-0.06451668590307236
1684201149924940300,0.081940185546875,-0.02556627243757248,-0.05733145773410797,-0.0782649889588356
1684201149934965200,0.09196533203125,-0.028851550072431564,-0.061098404228687286,-0.08391304314136505
1684201149944989400,0.101989501953125,-0.02592553198337555,-0.05666317418217659,-0.08322248607873917
1684201149955014400,0.112014404296875,-0.02241707593202591,-0.045264653861522675,-0.08228250592947006
1684201149965039600,0.12203955078125,-0.022202692925930023,-0.030217258259654045,-0.08806662261486053
1684201149975064600,0.132064697265625,-0.022799775004386902,-0.02415836602449417,-0.09219572693109512
1684201149985088300,0.142088134765625,-0.018119003623723984,-0.005289336666464806,-0.07131282240152359
1684201149995113500,0.152113525390625,-0.010374268516898155,0.0002717330935411155,-0.04000942036509514
1684201150005138400,0.162138427734375,-0.01281399093568325,-0.020975764840841293,-0.020076461136341095
1684201150015163400,0.172163330078125,0.010729955509305,-0.0050179604440927505,-0.0303275715559721
1684201150025187600,0.1821875,0.00409389054402709,-0.013328620232641697,-0.05367177724838257
1684201150035212500,0.192212646484375,-0.0029523037374019623,-0.042086392641067505,-0.07252493500709534
1684201150045237200,0.2022373046875,-0.007336133159697056,-0.06107765808701515,-0.08594726771116257
1684201150055261700,0.21226171875,-0.02308846265077591,-0.06543780118227005,-0.09145805984735489
1684201150065285600,0.22228564453125,-0.017773592844605446,-0.07822071015834808,-0.07047421485185623
1684201150075310600,0.232310546875,-0.05235367640852928,-0.11030653864145279,-0.03954413905739784
1684201150085335800,0.242335693359375,-0.3555484414100647,-0.19383710622787476,-0.09764499217271805
1684201150095360800,0.25236083984375,-0.48363396525382996,-0.11603153496980667,-0.15511788427829742
1684201150105385700,0.2623857421875,-0.4848094880580902,-0.039740487933158875,-0.1640021800994873
1684201150115409700,0.27240966796875,-0.4509221017360687,-0.05246748402714729,-0.16001933813095093
1684201150125434600,0.2824345703125,-0.3986929655075073,-0.07026991993188858,-0.1375126987695694
1684201150135459600,0.29245947265625,-0.3457229733467102,-0.11700864881277084,-0.1294039934873581
1684201150145484800,0.30248486328125,-0.2998766601085663,-0.1208779588341713,-0.12244754284620285
1684201150155508700,0.3125087890625,-0.237583726644516,-0.11184103041887283,-0.11412391811609268
1684201150165533700,0.32253369140625,-0.13578864932060242,-0.08742410689592361,-0.0999646857380867
1684201150175559000,0.332558837890625,0.00964445061981678,-0.0839323028922081,-0.09435206651687622
1684201150185583600,0.34258349609375,-0.01538553461432457,-0.09929262101650238,-0.09761443734169006
1684201150195607600,0.352607666015625,-0.009310061112046242,-0.09379961341619492,-0.09830056875944138
1684201150205632800,0.3626328125,-0.005803210660815239,-0.09601829200983047,-0.1080637127161026
1684201150215657700,0.37265771484375,-0.0021150019019842148,-0.09480218589305878,-0.12425531446933746
1684201150225682700,0.3826826171875,-0.002589310985058546,-0.08199344575405121,-0.1429581642150879
1684201150235707000,0.392706787109375,-0.012564444914460182,-0.08705764263868332,-0.15258996188640594
1684201150245731600,0.402731689453125,-0.013172712177038193,-0.10842151939868927,-0.16276803612709045
1684201150255756500,0.412756591796875,-0.012160725891590118,-0.1135062575340271,-0.1710895299911499
1684201150265781800,0.42278173828125,-0.014362627640366554,-0.11924297362565994,-0.1852399706840515
1684201150275805700,0.4328056640625,-0.010398240759968758,-0.11964008957147598,-0.19369420409202576
1684201150285830700,0.44283056640625,-0.007330278865993023,-0.12252083420753479,-0.18654973804950714
1684201150295855900,0.45285595703125,-0.00578776840120554,-0.11448915302753448,-0.18211734294891357
1684201150305880800,0.462880859375,0.001743118278682232,-0.09638364613056183,-0.17409883439540863
1684201150315905500,0.472905517578125,0.010363775305449963,-0.07363913953304291,-0.16734696924686432
1684201150325929700,0.4829296875,0.016596104949712753,-0.04200771450996399,-0.13861864805221558
1684201150335954700,0.49295458984375,0.022767450660467148,-0.012546510435640812,-0.11110810935497284
1684201150345979600,0.502979736328125,0.03011937439441681,0.017625240609049797,-0.08276301622390747
1684201150356004600,0.513004638671875,0.03851684555411339,0.04289044439792633,-0.042998626828193665
1684201150366028800,0.52302880859375,0.0437701977789402,0.0650671124458313,0.00137096899561584
1684201150376053500,0.533053466796875,0.0475340373814106,0.08494825661182404,0.03619541972875595
1684201150386078700,0.54307861328125,0.046908460557460785,0.10972630977630615,0.05743466317653656
1684201150396103700,0.553103759765625,0.03802868351340294,0.11950010806322098,0.07659637182950974
1684201150406127600,0.563127685546875,0.03387974575161934,0.11230185627937317,0.08698749542236328
1684201150416152800,0.57315283203125,0.022469162940979004,0.09006404131650925,0.08825176954269409
1684201150426177800,0.583177734375,0.00941993948072195,0.058121826499700546,0.08006387948989868
1684201150436202800,0.59320263671875,-0.00252433936111629,0.022391006350517273,0.05350861698389053
1684201150446226700,0.603226806640625,-0.020304135978221893,-0.023827888071537018,0.015504509210586548
1684201150456251600,0.613251708984375,-0.030245183035731316,-0.07922642678022385,-0.035967737436294556
1684201150466276600,0.623276611328125,-0.038414694368839264,-0.13122092187404633,-0.08169714361429214
1684201150476301600,0.633301513671875,-0.03860563784837723,-0.17756910622119904,-0.1264399141073227
1684201150486325800,0.64332568359375,-0.0293133407831192,-0.23720580339431763,-0.1778503805398941
1684201150496350700,0.653350830078125,-0.022130530327558517,-0.28878313302993774,-0.23324397206306458
1684201150506375700,0.663375732421875,-0.010613157413899899,-0.3157700300216675,-0.2809755206108093
1684201150516400600,0.673400634765625,0.001003290992230177,-0.32377827167510986,-0.3110697865486145
1684201150526424600,0.683424560546875,0.017366550862789154,-0.3242400884628296,-0.3307100534439087
1684201150536449800,0.69344970703125,0.04332704469561577,-0.3068539500236511,-0.3280579447746277
1684201150546474800,0.703474853515625,0.06899778544902802,-0.25861024856567383,-0.3020133078098297
1684201150556499700,0.713499755859375,0.08582258224487305,-0.20364971458911896,-0.26019954681396484
1684201150566524700,0.723524658203125,0.09131135791540146,-0.12272264808416367,-0.19299229979515076
1684201150576548600,0.733548583984375,0.08878161013126373,-0.05462035909295082,-0.12904854118824005
1684201150586573600,0.743573486328125,0.08143288642168045,0.0011680739698931575,-0.06554493308067322
1684201150596598500,0.7535986328125,0.06897541880607605,0.06562776863574982,-0.013699637725949287
1684201150606623700,0.763623779296875,0.06261712312698364,0.12909142673015594,0.039027225226163864
1684201150616647700,0.773647705078125,0.05171574279665947,0.15561926364898682,0.07095610350370407
1684201150626672600,0.783672607421875,0.03564436361193657,0.12276731431484222,0.07864757627248764
1684201150636697900,0.79369775390625,0.02257702313363552,0.09941224008798599,0.0700921043753624
1684201150646722800,0.803722900390625,0.009483858942985535,0.06850172579288483,0.05077246576547623
1684201150656746800,0.813746826171875,-0.07526752352714539,0.03702112287282944,0.010035991668701172
1684201150666771700,0.823771728515625,-0.0991281121969223,-0.01957717351615429,-0.03217697516083717
1684201150676796700,0.833796630859375,-0.07225149124860764,-0.021649831905961037,-0.0738506019115448
1684201150686821600,0.843821533203125,-0.010071741417050362,0.004881110042333603,-0.09935329854488373
